Target Velocity (rad/s),L Velocity (rad/s),R Velocity (rad/s)
15.0,9.06,10.07
14.5,9.15,10.0
14.0,9.04,10.07
13.5,9.13,9.95
13.0,9.03,10.06
12.5,9.13,9.8
12.0,9.0,10.03
11.5,8.94,9.92
11.0,8.91,9.72
10.5,8.89,9.74
10.0,8.91,9.78
9.5,8.8,9.69
9.0,8.67,9.55
8.5,8.5,9.43
8.0,8.26,9.17
7.5,8.11,8.94
7.0,7.89,8.82
6.5,7.79,8.61
6.0,7.54,8.31
5.5,7.28,8.17
5.0,7.16,7.95
4.5,6.84,7.71
4.0,6.63,7.45
3.5,6.5,7.23
3.0,6.32,6.98
2.5,6.09,6.84
2.0,5.31,5.99
1.5,3.83,4.37
1.0,2.31,0.29
0.5,0.03,0.0
0.0,-0.0,0.0
-0.5,-0.04,-0.01
-1.0,-2.9,-0.0
-1.5,-4.52,-0.0
-2.0,-6.1,-5.82
-2.5,-6.53,-6.46
-3.0,-6.38,-6.19
-3.5,-6.1,-6.08
-4.0,-5.98,-5.78
-4.5,-5.71,-5.6
-5.0,-5.59,-5.37
-5.5,-5.35,-5.2
-6.0,-5.01,-4.92
-6.5,-4.85,-4.69
-7.0,-4.65,-4.51
-7.5,-4.48,-4.22
-8.0,-4.32,-4.07
-8.5,-4.12,-3.78
-9.0,-3.9,-3.61
-9.5,-3.7,-3.29
-10.0,-3.49,-3.06
-10.5,-3.29,-1.92
-11.0,-3.05,0.0
-11.5,-2.88,-0.0
-12.0,-2.68,-0.0
-12.5,-2.34,-0.0
-13.0,-2.19,0.0
-13.5,-1.88,0.0
-14.0,-0.64,0.0
-14.5,0.0,-0.0
