20.07.06 08:00:47: root: DEBUG  : ColumnA ColumnB ColumnC ColumnD
20.07.06 08:00:48: root: DEBUG  : Time_Increment(s) 1825.559
20.07.06 08:00:48: root: DEBUG  : Wheel_Increments(rad) -1.2552 0.0182
20.07.06 08:00:48: root: DEBUG  : Wheel_Speeds(rad/s) -0.0007 0.0
20.07.06 08:00:48: root: DEBUG  : Time_Increment(s) 0.003
20.07.06 08:00:48: root: DEBUG  : Wheel_Increments(rad) 0.0002 -0.0004
20.07.06 08:00:48: root: DEBUG  : Wheel_Speeds(rad/s) 0.06 -0.1201
20.07.06 08:00:48: root: DEBUG  : Chassis_Increment(m,rad) -0.0 -0.0 1825.565175506
20.07.06 08:00:48: root: DEBUG  : TimeStamp(s) 1825.565435311
20.07.06 08:00:48: root: DEBUG  : Gyro_raw(deg/s) -0.183 1825.621793647
20.07.06 08:00:48: root: DEBUG  : global_x(m) 0.0 global_y(m) 0.0
20.07.06 08:00:48: root: DEBUG  : heading(deg) 0.0
20.07.06 08:00:48: root: DEBUG  : vectorLength(m) 0.3 vectorDirection(deg) 0.0
20.07.06 08:00:48: root: DEBUG  : CurveFlip 0
20.07.06 08:00:48: root: DEBUG  : START_CURVING 1825.624917514
20.07.06 08:00:48: root: DEBUG  : START_DRIVING 1825.625075746
20.07.06 08:00:48: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:48: root: DEBUG  : EffortLeft(duty) 0.116 0.116
20.07.06 08:00:48: root: DEBUG  : EffortRight(duty) 0.119 0.119
20.07.06 08:00:48: root: DEBUG  : Time_Increment(s) 0.067
20.07.06 08:00:48: root: DEBUG  : Wheel_Increments(rad) -0.0006 -0.0006
20.07.06 08:00:48: root: DEBUG  : Wheel_Speeds(rad/s) -0.0086 -0.0086
20.07.06 08:00:48: root: DEBUG  : Chassis_Increment(m,rad) -0.0 0.0 1825.632499518
20.07.06 08:00:48: root: DEBUG  : TimeStamp(s) 1825.63278482
20.07.06 08:00:48: root: DEBUG  : Gyro_raw(deg/s) 0.0 1825.641163987
20.07.06 08:00:48: root: DEBUG  : global_x(m) 0.0 global_y(m) 0.0
20.07.06 08:00:48: root: DEBUG  : heading(deg) 0.0
20.07.06 08:00:48: root: DEBUG  : vectorLength(m) 0.3 vectorDirection(deg) 0.0
20.07.06 08:00:48: root: DEBUG  : CurveFlip 0
20.07.06 08:00:48: root: DEBUG  : sleepTime(s) 0.05
20.07.06 08:00:48: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:48: root: DEBUG  : EffortLeft(duty) 0.117 0.233
20.07.06 08:00:48: root: DEBUG  : EffortRight(duty) 0.117 0.237
20.07.06 08:00:48: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:48: root: DEBUG  : Wheel_Increments(rad) 0.0021 0.0035
20.07.06 08:00:48: root: DEBUG  : Wheel_Speeds(rad/s) 0.0308 0.0505
20.07.06 08:00:48: root: DEBUG  : Chassis_Increment(m,rad) 0.0 0.0 1825.699440946
20.07.06 08:00:48: root: DEBUG  : TimeStamp(s) 1825.700438046
20.07.06 08:00:48: root: DEBUG  : Gyro_raw(deg/s) -0.366 1825.711165872
20.07.06 08:00:48: root: DEBUG  : global_x(m) 0.0 global_y(m) 0.0
20.07.06 08:00:48: root: DEBUG  : heading(deg) 0.0
20.07.06 08:00:48: root: DEBUG  : vectorLength(m) 0.3 vectorDirection(deg) 0.0
20.07.06 08:00:48: root: DEBUG  : CurveFlip 0
20.07.06 08:00:48: root: DEBUG  : sleepTime(s) 0.047
20.07.06 08:00:48: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:48: root: DEBUG  : EffortLeft(duty) 0.116 0.35
20.07.06 08:00:48: root: DEBUG  : EffortRight(duty) 0.116 0.353
20.07.06 08:00:48: root: DEBUG  : Time_Increment(s) 0.067
20.07.06 08:00:48: root: DEBUG  : Wheel_Increments(rad) 0.0067 0.0073
20.07.06 08:00:48: root: DEBUG  : Wheel_Speeds(rad/s) 0.0997 0.1082
20.07.06 08:00:48: root: DEBUG  : Chassis_Increment(m,rad) 0.0 0.0 1825.766743627
20.07.06 08:00:48: root: DEBUG  : TimeStamp(s) 1825.766966061
20.07.06 08:00:48: root: DEBUG  : Gyro_raw(deg/s) -0.122 1825.771465778
20.07.06 08:00:48: root: DEBUG  : global_x(m) 0.0 global_y(m) 0.0
20.07.06 08:00:48: root: DEBUG  : heading(deg) 0.0
20.07.06 08:00:48: root: DEBUG  : vectorLength(m) 0.3 vectorDirection(deg) 0.0
20.07.06 08:00:48: root: DEBUG  : CurveFlip 0
20.07.06 08:00:48: root: DEBUG  : sleepTime(s) 0.053
20.07.06 08:00:48: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:48: root: DEBUG  : EffortLeft(duty) 0.115 0.465
20.07.06 08:00:48: root: DEBUG  : EffortRight(duty) 0.115 0.468
20.07.06 08:00:48: root: DEBUG  : Time_Increment(s) 0.068
20.07.06 08:00:48: root: DEBUG  : Wheel_Increments(rad) 0.092 0.0825
20.07.06 08:00:48: root: DEBUG  : Wheel_Speeds(rad/s) 1.3628 1.2209
20.07.06 08:00:48: root: DEBUG  : Chassis_Increment(m,rad) 0.004 -0.001 1825.834298906
20.07.06 08:00:48: root: DEBUG  : TimeStamp(s) 1825.834530297
20.07.06 08:00:48: root: DEBUG  : Gyro_raw(deg/s) -2.502 1825.841270268
20.07.06 08:00:48: root: DEBUG  : global_x(m) 0.004 global_y(m) -0.0
20.07.06 08:00:48: root: DEBUG  : heading(deg) -0.057
20.07.06 08:00:48: root: DEBUG  : vectorLength(m) 0.296 vectorDirection(deg) 0.0
20.07.06 08:00:48: root: DEBUG  : CurveFlip 0
20.07.06 08:00:48: root: DEBUG  : sleepTime(s) 0.051
20.07.06 08:00:48: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:48: root: DEBUG  : EffortLeft(duty) 0.09 0.554
20.07.06 08:00:48: root: DEBUG  : EffortRight(duty) 0.093 0.56
20.07.06 08:00:48: root: DEBUG  : Time_Increment(s) 0.067
20.07.06 08:00:48: root: DEBUG  : Wheel_Increments(rad) 0.2418 0.208
20.07.06 08:00:48: root: DEBUG  : Wheel_Speeds(rad/s) 3.607 3.1036
20.07.06 08:00:48: root: DEBUG  : Chassis_Increment(m,rad) 0.009 -0.004 1825.902438912
20.07.06 08:00:48: root: DEBUG  : TimeStamp(s) 1825.902675802
20.07.06 08:00:48: root: DEBUG  : Gyro_raw(deg/s) -2.258 1825.911263905
20.07.06 08:00:48: root: DEBUG  : global_x(m) 0.013 global_y(m) -0.0
20.07.06 08:00:48: root: DEBUG  : heading(deg) -0.286
20.07.06 08:00:48: root: DEBUG  : vectorLength(m) 0.287 vectorDirection(deg) 0.0
20.07.06 08:00:48: root: DEBUG  : CurveFlip 0
20.07.06 08:00:48: root: DEBUG  : sleepTime(s) 0.049
20.07.06 08:00:48: root: DEBUG  : PhiSetPoints(rad/s) 5.854 5.854
20.07.06 08:00:48: root: DEBUG  : EffortLeft(duty) 0.045 0.599
